time,seconds_elapsed,z,y,x
1678040539043248600,2.20524853515625,-0.09339705854654312,-0.07671582698822021,0.2562702000141144
1678040539063118600,2.22511865234375,-0.14836037158966064,-0.08352179080247879,0.1989840865135193
1678040539082989600,2.244989501953125,-0.10552451759576797,0.005231084302067757,0.040395237505435944
1678040539102860800,2.26486083984375,-0.08640378713607788,0.052384912967681885,-0.043469831347465515
1678040539122730800,2.284730712890625,-0.04657632112503052,0.05813970789313316,-0.005150984041392803
1678040539142601700,2.304601806640625,-0.023187533020973206,0.03914058580994606,-0.017816629260778427
1678040539162471400,2.324471435546875,0.03532944992184639,0.08775849640369415,-0.042629219591617584
1678040539182342700,2.3443427734375,0.05724625661969185,0.13212136924266815,-0.05420101061463356
1678040539202213600,2.364213623046875,0.021081551909446716,0.06251634657382965,0.004875550977885723
1678040539222083600,2.38408349609375,-0.004009125288575888,-0.01211792416870594,0.024585578590631485
1678040539241954600,2.40395458984375,0.002123800106346607,-0.003780924715101719,-0.03035704232752323
1678040539261825500,2.423825439453125,0.010813441127538681,0.004539946094155312,-0.06825345009565353
1678040539281695500,2.443695556640625,-0.001662068534642458,0.007761064916849136,-0.10391929745674133
1678040539301566700,2.463566650390625,0.020532850176095963,-0.00556001253426075,-0.12172837555408478
1678040539321437700,2.483437744140625,0.023552831262350082,-0.0015645837411284447,-0.08115758746862411
1678040539341307600,2.5033076171875,-0.01599002256989479,0.011419307440519333,-0.0787498876452446
1678040539361178600,2.5231787109375,-0.028029851615428925,0.013511154800653458,-0.09456063061952591
1678040539381048600,2.543048583984375,-0.014462260529398918,0.0012881681323051453,-0.09687183797359467
1678040539400919600,2.56291943359375,0.004065549932420254,-0.005923964083194733,-0.06506597995758057
1678040539420790800,2.582790771484375,0.020783374086022377,0.02482627145946026,0.004851562902331352
1678040539440660700,2.60266064453125,0.009869711473584175,0.016025301069021225,0.05587083473801613
1678040539460531700,2.62253173828125,0.005855781026184559,-0.01580941677093506,0.07409314811229706
1678040539480402700,2.642402587890625,-0.02583514153957367,-0.01819084770977497,0.041692283004522324
1678040539500272600,2.662272705078125,-0.022400010377168655,0.023009467869997025,-0.058460261672735214
1678040539520143600,2.6821435546875,-0.0005844775587320328,0.0601089708507061,-0.09767171740531921
1678040539540013600,2.702013671875,0.026717694476246834,0.027532309293746948,-0.02740783989429474
1678040539559884500,2.721884521484375,0.00632892083376646,-0.009698825888335705,0.09286971390247345
1678040539579755500,2.741755615234375,-0.003698266576975584,0.034919384866952896,0.12920759618282318
1678040539599625500,2.76162548828125,-0.01660913974046707,0.07730540633201599,0.06683182716369629
1678040539619496700,2.78149658203125,-0.024931810796260834,0.0626053735613823,-0.026843205094337463
1678040539639367700,2.80136767578125,-0.017457250505685806,0.08705154806375504,-0.10796843469142914
1678040539659237600,2.821237548828125,-0.004749694839119911,0.07761961966753006,-0.1227634847164154
1678040539679108600,2.841108642578125,0.003765372559428215,0.01777603290975094,-0.018044715747237206
1678040539698979600,2.8609794921875,-0.0015640812925994396,-0.0038925884291529655,0.06336276978254318
1678040539718849500,2.880849609375,-0.010263534262776375,0.030168194323778152,0.03526905179023743
1678040539738720800,2.900720703125,0.005862097255885601,0.04125944897532463,-0.0033918675035238266
1678040539758590700,2.9205908203125,0.004819529131054878,0.018222127109766006,-0.03507901728153229
1678040539778461700,2.940461669921875,-0.0038680280558764935,0.0064154500141739845,-0.05346488580107689
1678040539798332700,2.960332763671875,0.007618472911417484,0.018363799899816513,-0.04277825355529785
1678040539818202600,2.98020263671875,-0.0023842244409024715,-0.009255792945623398,0.008560052141547203
1678040539838073900,3.000073974609375,-0.01210328284651041,-0.003765809116885066,0.0629645586013794
1678040539857944800,3.01994482421875,-0.012635065242648125,0.03580033779144287,0.05949539691209793
1678040539877814500,3.039814453125,0.0017671529203653336,0.04943080246448517,0.016773046925663948
1678040539897685500,3.059685546875,0.012476331554353237,0.015535430982708931,-0.011153051629662514
1678040539917556500,3.079556396484375,0.026827150955796242,-0.019051438197493553,-0.010978000238537788
1678040539937426200,3.09942626953125,-0.0005729966796934605,-0.02468419261276722,-0.039611902087926865
1678040539957297200,3.119297119140625,-0.029376059770584106,-0.0033162138424813747,-0.04831840097904205
1678040539977167000,3.1391669921875,-0.024938300251960754,0.01926797442138195,-0.00787721574306488
1678040539997038000,3.1590380859375,-0.02342968061566353,0.027075909078121185,0.02353452891111374
1678040540016909000,3.178908935546875,0.001841011457145214,0.06735477596521378,0.01051452849060297
1678040540036779300,3.198779296875,0.004173437133431435,0.1178286224603653,-0.08340906351804733
1678040540056650200,3.218650146484375,-0.033386390656232834,0.1094779372215271,-0.23958218097686768
1678040540076521200,3.238521240234375,-0.032293617725372314,0.13520872592926025,-0.2884249687194824
1678040540096391200,3.25839111328125,-0.037506259977817535,0.04342632740736008,-0.14204943180084229
1678040540116262100,3.27826220703125,-0.061833810061216354,-0.018814709037542343,-0.00019486993551254272
1678040540136133000,3.298133056640625,-0.07428573817014694,-0.0007490918505936861,0.021026886999607086
1678040540156003300,3.31800341796875,-0.04879290983080864,0.12201614677906036,-0.007709786295890808
1678040540175874300,3.337874267578125,-0.03138446435332298,0.09946739673614502,-0.009452072903513908
1678040540195744300,3.357744140625,-0.03636480122804642,-0.03667205572128296,0.016649072989821434
1678040540215615200,3.377615234375,-0.04355714097619057,-0.05141992121934891,-0.00991332158446312
1678040540235486200,3.397486328125,-0.0147190997377038,-0.0016470365226268768,-0.036665573716163635
1678040540255356200,3.417356201171875,0.022841930389404297,0.021006206050515175,-0.015047851949930191
1678040540275227100,3.43722705078125,0.04359307885169983,-0.03096412867307663,0.0438774898648262
1678040540295098000,3.45709814453125,0.022804589942097664,-0.015536826103925705,0.04034918546676636
